time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;AuxLoad_Xfmr_transformer_terminal1_V_re;AuxLoad_Xfmr_transformer_terminal1_V_im;AuxLoad_Xfmr_transformer_terminal1_i_re;AuxLoad_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;StepUp_Xfmr_transformer_tap_value;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_ipCmdPu;Wind_Turbine_WPP_wT4BCurrentSource_wT4Injector_genSystem_iECFrameRotation_iqCmdPu;Wind_Turbine_WPP_UWPRefPu;Wind_Turbine_WPP_wPPControl2015_qControl_UWPPu;Wind_Turbine_WPP_wPPControl2015_qControl_QWPPu;Wind_Turbine_WPP_omegaRefPu;
78.607482;1.042096;0.052261;1.042096;0.052261;0.009802;-0.004302;1.042096;0.052261;-0.727696;-0.031723;10.000000;0.809056;-0.020630;1.044982;1.043943;0.021536;1.000000;
78.617482;1.042096;0.052261;1.042096;0.052261;0.009802;-0.004302;1.042096;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043943;0.021536;1.000000;
78.627482;1.042096;0.052261;1.042096;0.052261;0.009802;-0.004302;1.042096;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043943;0.021536;1.000000;
78.637482;1.042096;0.052261;1.042096;0.052261;0.009802;-0.004302;1.042096;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043943;0.021536;1.000000;
78.647482;1.042096;0.052261;1.042096;0.052261;0.009802;-0.004302;1.042096;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043944;0.021536;1.000000;
78.657482;1.042097;0.052261;1.042097;0.052261;0.009802;-0.004302;1.042097;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043944;0.021536;1.000000;
78.667482;1.042097;0.052261;1.042097;0.052261;0.009802;-0.004302;1.042097;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043944;0.021536;1.000000;
78.677482;1.042097;0.052261;1.042097;0.052261;0.009802;-0.004302;1.042097;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043944;0.021536;1.000000;
78.687482;1.042097;0.052261;1.042097;0.052261;0.009802;-0.004302;1.042097;0.052261;-0.727695;-0.031723;10.000000;0.809055;-0.020630;1.044982;1.043944;0.021536;1.000000;
78.697482;1.042097;0.052261;1.042097;0.052261;0.009802;-0.004302;1.042097;0.052261;-0.727695;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043944;0.021536;1.000000;
78.707482;1.042097;0.052261;1.042097;0.052261;0.009802;-0.004302;1.042097;0.052261;-0.727694;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043945;0.021536;1.000000;
78.717482;1.042098;0.052261;1.042098;0.052261;0.009802;-0.004302;1.042098;0.052261;-0.727694;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043945;0.021536;1.000000;
78.727482;1.042098;0.052261;1.042098;0.052261;0.009802;-0.004302;1.042098;0.052261;-0.727694;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043945;0.021536;1.000000;
78.737482;1.042098;0.052261;1.042098;0.052261;0.009802;-0.004302;1.042098;0.052261;-0.727694;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043945;0.021536;1.000000;
78.747482;1.042098;0.052261;1.042098;0.052261;0.009802;-0.004302;1.042098;0.052261;-0.727694;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043945;0.021536;1.000000;
78.757482;1.042098;0.052261;1.042098;0.052261;0.009802;-0.004302;1.042098;0.052261;-0.727694;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043946;0.021536;1.000000;
78.767482;1.042099;0.052261;1.042099;0.052261;0.009802;-0.004302;1.042099;0.052261;-0.727694;-0.031723;10.000000;0.809054;-0.020630;1.044982;1.043946;0.021536;1.000000;
78.777482;1.042099;0.052261;1.042099;0.052261;0.009802;-0.004302;1.042099;0.052261;-0.727694;-0.031723;10.000000;0.809053;-0.020630;1.044982;1.043946;0.021536;1.000000;
78.787482;1.042099;0.052261;1.042099;0.052261;0.009802;-0.004302;1.042099;0.052261;-0.727693;-0.031723;10.000000;0.809053;-0.020630;1.044982;1.043946;0.021536;1.000000;
78.797482;1.042099;0.052261;1.042099;0.052261;0.009802;-0.004302;1.042099;0.052261;-0.727693;-0.031723;10.000000;0.809053;-0.020630;1.044982;1.043946;0.021536;1.000000;
78.807482;1.042099;0.052261;1.042099;0.052261;0.009802;-0.004302;1.042099;0.052261;-0.727693;-0.031723;10.000000;0.809053;-0.020630;1.044982;1.043946;0.021536;1.000000;
78.817482;1.042099;0.052261;1.042099;0.052261;0.009802;-0.004302;1.042099;0.052261;-0.727693;-0.031723;10.000000;0.809053;-0.020630;1.044982;1.043947;0.021536;1.000000;
78.827482;1.042100;0.052261;1.042100;0.052261;0.009802;-0.004302;1.042100;0.052261;-0.727693;-0.031722;10.000000;0.809053;-0.020630;1.044982;1.043947;0.021536;1.000000;
78.837482;1.042100;0.052261;1.042100;0.052261;0.009802;-0.004302;1.042100;0.052261;-0.727693;-0.031722;10.000000;0.809053;-0.020630;1.044982;1.043947;0.021536;1.000000;
78.847482;1.042100;0.052261;1.042100;0.052261;0.009802;-0.004302;1.042100;0.052261;-0.727693;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043947;0.021536;1.000000;
78.857482;1.042100;0.052261;1.042100;0.052261;0.009802;-0.004302;1.042100;0.052261;-0.727693;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043947;0.021536;1.000000;
78.867482;1.042100;0.052261;1.042100;0.052261;0.009802;-0.004302;1.042100;0.052261;-0.727693;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043948;0.021536;1.000000;
78.877482;1.042101;0.052261;1.042101;0.052261;0.009802;-0.004302;1.042101;0.052261;-0.727692;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043948;0.021536;1.000000;
78.887482;1.042101;0.052261;1.042101;0.052261;0.009802;-0.004302;1.042101;0.052261;-0.727692;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043948;0.021536;1.000000;
78.897482;1.042101;0.052261;1.042101;0.052261;0.009802;-0.004302;1.042101;0.052261;-0.727692;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043948;0.021536;1.000000;
78.907482;1.042101;0.052261;1.042101;0.052261;0.009802;-0.004302;1.042101;0.052261;-0.727692;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043948;0.021536;1.000000;
78.917482;1.042101;0.052261;1.042101;0.052261;0.009802;-0.004302;1.042101;0.052261;-0.727692;-0.031722;10.000000;0.809052;-0.020630;1.044982;1.043948;0.021536;1.000000;
78.927482;1.042101;0.052261;1.042101;0.052261;0.009802;-0.004302;1.042101;0.052261;-0.727692;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043949;0.021536;1.000000;
78.937482;1.042102;0.052261;1.042102;0.052261;0.009802;-0.004302;1.042102;0.052261;-0.727692;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043949;0.021536;1.000000;
78.947482;1.042102;0.052261;1.042102;0.052261;0.009802;-0.004302;1.042102;0.052261;-0.727692;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043949;0.021536;1.000000;
78.957482;1.042102;0.052261;1.042102;0.052261;0.009802;-0.004302;1.042102;0.052261;-0.727692;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043949;0.021536;1.000000;
78.967482;1.042102;0.052261;1.042102;0.052261;0.009802;-0.004302;1.042102;0.052261;-0.727691;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043949;0.021536;1.000000;
78.977482;1.042102;0.052261;1.042102;0.052261;0.009802;-0.004302;1.042102;0.052261;-0.727691;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043949;0.021536;1.000000;
78.987482;1.042102;0.052261;1.042102;0.052261;0.009802;-0.004302;1.042102;0.052261;-0.727691;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043950;0.021536;1.000000;
78.997482;1.042103;0.052261;1.042103;0.052261;0.009802;-0.004302;1.042103;0.052261;-0.727691;-0.031722;10.000000;0.809051;-0.020630;1.044982;1.043950;0.021536;1.000000;
79.007482;1.042103;0.052261;1.042103;0.052261;0.009802;-0.004302;1.042103;0.052261;-0.727691;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043950;0.021536;1.000000;
79.017482;1.042103;0.052261;1.042103;0.052261;0.009802;-0.004302;1.042103;0.052261;-0.727691;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043950;0.021536;1.000000;
79.027482;1.042103;0.052261;1.042103;0.052261;0.009802;-0.004302;1.042103;0.052261;-0.727691;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043950;0.021536;1.000000;
79.037482;1.042103;0.052261;1.042103;0.052261;0.009802;-0.004302;1.042103;0.052261;-0.727691;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043951;0.021536;1.000000;
79.047482;1.042104;0.052261;1.042104;0.052261;0.009802;-0.004302;1.042104;0.052261;-0.727691;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043951;0.021536;1.000000;
79.057482;1.042104;0.052261;1.042104;0.052261;0.009802;-0.004302;1.042104;0.052261;-0.727690;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043951;0.021536;1.000000;
79.067482;1.042104;0.052261;1.042104;0.052261;0.009802;-0.004302;1.042104;0.052261;-0.727690;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043951;0.021536;1.000000;
79.077482;1.042104;0.052261;1.042104;0.052261;0.009802;-0.004302;1.042104;0.052261;-0.727690;-0.031722;10.000000;0.809050;-0.020630;1.044982;1.043951;0.021536;1.000000;
79.087482;1.042104;0.052261;1.042104;0.052261;0.009802;-0.004302;1.042104;0.052261;-0.727690;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043951;0.021536;1.000000;
79.097482;1.042104;0.052261;1.042104;0.052261;0.009802;-0.004302;1.042104;0.052261;-0.727690;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043952;0.021536;1.000000;
79.107482;1.042105;0.052261;1.042105;0.052261;0.009802;-0.004302;1.042105;0.052261;-0.727690;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043952;0.021536;1.000000;
79.117482;1.042105;0.052261;1.042105;0.052261;0.009802;-0.004302;1.042105;0.052261;-0.727690;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043952;0.021536;1.000000;
79.127482;1.042105;0.052260;1.042105;0.052260;0.009802;-0.004302;1.042105;0.052260;-0.727690;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043952;0.021536;1.000000;
79.137482;1.042105;0.052260;1.042105;0.052260;0.009802;-0.004302;1.042105;0.052260;-0.727689;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043952;0.021536;1.000000;
79.147482;1.042105;0.052260;1.042105;0.052260;0.009802;-0.004302;1.042105;0.052260;-0.727689;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043953;0.021536;1.000000;
79.157482;1.042106;0.052260;1.042106;0.052260;0.009802;-0.004302;1.042106;0.052260;-0.727689;-0.031722;10.000000;0.809049;-0.020630;1.044982;1.043953;0.021536;1.000000;
79.167482;1.042106;0.052260;1.042106;0.052260;0.009802;-0.004302;1.042106;0.052260;-0.727689;-0.031722;10.000000;0.809048;-0.020630;1.044982;1.043953;0.021536;1.000000;
