time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Bess_GEN_InjectedActiveCurrent;Bess_GEN_InjectedReactiveCurrent;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;Bess_GEN_InjectedCurrent;NetworkFrequencyPu
0.467852000;1.056e+00;5.372e-01;-5.750e-03;5.089e-01;-5.446e-03;1.059e+00;1.000e+01;5.248e-01;-8.897e-03;1.051e+00;1.000e+00;5.248e-01;1.000e+00
0.477852000;1.056e+00;5.333e-01;-5.909e-03;5.051e-01;-5.597e-03;1.059e+00;1.000e+01;5.210e-01;-8.654e-03;1.051e+00;1.000e+00;5.211e-01;1.000e+00
0.487852000;1.056e+00;5.295e-01;-6.064e-03;5.014e-01;-5.742e-03;1.059e+00;1.000e+01;5.173e-01;-8.418e-03;1.051e+00;1.000e+00;5.174e-01;1.000e+00
0.497852000;1.056e+00;5.258e-01;-6.212e-03;4.979e-01;-5.882e-03;1.059e+00;1.000e+01;5.138e-01;-8.190e-03;1.051e+00;1.000e+00;5.138e-01;1.000e+00
0.507852000;1.056e+00;5.222e-01;-6.358e-03;4.944e-01;-6.020e-03;1.059e+00;1.000e+01;5.103e-01;-7.970e-03;1.051e+00;1.000e+00;5.104e-01;1.000e+00
0.517852000;1.056e+00;5.188e-01;-6.499e-03;4.911e-01;-6.152e-03;1.059e+00;1.000e+01;5.070e-01;-7.757e-03;1.051e+00;1.000e+00;5.070e-01;1.000e+00
0.527852000;1.057e+00;5.154e-01;-6.636e-03;4.878e-01;-6.281e-03;1.059e+00;1.000e+01;5.037e-01;-7.552e-03;1.051e+00;1.000e+00;5.038e-01;1.000e+00
0.537852000;1.057e+00;5.121e-01;-6.768e-03;4.847e-01;-6.405e-03;1.059e+00;1.000e+01;5.006e-01;-7.354e-03;1.051e+00;1.000e+00;5.006e-01;1.000e+00
0.547852000;1.057e+00;5.090e-01;-6.895e-03;4.817e-01;-6.525e-03;1.059e+00;1.000e+01;4.976e-01;-7.163e-03;1.051e+00;1.000e+00;4.976e-01;1.000e+00
0.557852000;1.057e+00;5.059e-01;-7.019e-03;4.787e-01;-6.641e-03;1.059e+00;1.000e+01;4.946e-01;-6.978e-03;1.051e+00;1.000e+00;4.947e-01;1.000e+00
0.567852000;1.057e+00;5.030e-01;-7.140e-03;4.759e-01;-6.755e-03;1.059e+00;1.000e+01;4.918e-01;-6.800e-03;1.051e+00;1.000e+00;4.918e-01;1.000e+00
0.577852000;1.057e+00;5.001e-01;-7.254e-03;4.731e-01;-6.863e-03;1.059e+00;1.000e+01;4.890e-01;-6.628e-03;1.051e+00;1.000e+00;4.891e-01;1.000e+00
0.587852000;1.057e+00;4.974e-01;-7.365e-03;4.705e-01;-6.966e-03;1.059e+00;1.000e+01;4.864e-01;-6.462e-03;1.051e+00;1.000e+00;4.864e-01;1.000e+00
0.597852000;1.057e+00;4.947e-01;-7.474e-03;4.679e-01;-7.069e-03;1.059e+00;1.000e+01;4.838e-01;-6.303e-03;1.051e+00;1.000e+00;4.839e-01;1.000e+00
0.607852000;1.057e+00;4.921e-01;-7.579e-03;4.655e-01;-7.168e-03;1.059e+00;1.000e+01;4.814e-01;-6.149e-03;1.051e+00;1.000e+00;4.814e-01;1.000e+00
0.617852000;1.057e+00;4.897e-01;-7.682e-03;4.631e-01;-7.265e-03;1.060e+00;1.000e+01;4.790e-01;-6.000e-03;1.051e+00;1.000e+00;4.791e-01;1.000e+00
