time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.001071000;1.048e+00;3.948e-01;1.418e-03;3.767e-01;1.354e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.080e-03;3.767e-01;1.000e+00
0.001072000;1.048e+00;3.948e-01;1.526e-03;3.767e-01;1.456e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.183e-03;3.767e-01;1.000e+00
0.001073000;1.048e+00;3.948e-01;1.634e-03;3.767e-01;1.559e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.287e-03;3.767e-01;1.000e+00
0.001075000;1.048e+00;3.948e-01;1.849e-03;3.767e-01;1.764e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.493e-03;3.767e-01;1.000e+00
0.001079000;1.048e+00;3.948e-01;2.280e-03;3.767e-01;2.176e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;3.906e-03;3.767e-01;1.000e+00
0.001087000;1.048e+00;3.949e-01;3.138e-03;3.767e-01;2.993e-03;1.048e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;4.729e-03;3.767e-01;1.000e+00
0.001103000;1.048e+00;3.949e-01;4.847e-03;3.767e-01;4.623e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;6.368e-03;3.768e-01;1.000e+00
0.001135000;1.049e+00;3.951e-01;8.236e-03;3.768e-01;7.853e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;9.615e-03;3.768e-01;1.000e+00
0.001146000;1.049e+00;3.952e-01;9.399e-03;3.768e-01;8.961e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.073e-02;3.769e-01;1.000e+00
0.001147000;1.049e+00;3.952e-01;9.504e-03;3.768e-01;9.061e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.083e-02;3.769e-01;1.000e+00
0.001148000;1.049e+00;3.952e-01;9.609e-03;3.768e-01;9.161e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.093e-02;3.769e-01;1.000e+00
0.001150000;1.049e+00;3.952e-01;9.818e-03;3.768e-01;9.360e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.113e-02;3.769e-01;1.000e+00
0.001154000;1.049e+00;3.952e-01;1.024e-02;3.768e-01;9.759e-03;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.153e-02;3.769e-01;1.000e+00
0.001162000;1.049e+00;3.953e-01;1.107e-02;3.768e-01;1.055e-02;1.049e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.233e-02;3.769e-01;1.000e+00
0.001178000;1.049e+00;3.953e-01;1.273e-02;3.768e-01;1.214e-02;1.050e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.392e-02;3.770e-01;1.000e+00
0.001210000;1.050e+00;3.955e-01;1.603e-02;3.768e-01;1.527e-02;1.050e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.708e-02;3.771e-01;1.000e+00
0.001274000;1.050e+00;3.958e-01;2.251e-02;3.769e-01;2.143e-02;1.051e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.327e-02;3.775e-01;1.000e+00
0.001402000;1.052e+00;3.965e-01;3.503e-02;3.769e-01;3.330e-02;1.053e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.768e-01;3.521e-02;3.784e-01;1.000e+00
0.001658000;1.054e+00;3.977e-01;5.840e-02;3.772e-01;5.538e-02;1.056e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.768e-01;5.741e-02;3.812e-01;1.000e+00
0.001914000;1.057e+00;3.988e-01;7.967e-02;3.774e-01;7.538e-02;1.059e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.769e-01;7.752e-02;3.848e-01;1.000e+00
0.002170000;1.059e+00;3.999e-01;9.902e-02;3.776e-01;9.349e-02;1.062e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.770e-01;9.573e-02;3.890e-01;1.000e+00
0.002426000;1.061e+00;4.009e-01;1.166e-01;3.778e-01;1.099e-01;1.064e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.771e-01;1.122e-01;3.934e-01;1.000e+00
0.002682000;1.063e+00;4.018e-01;1.326e-01;3.780e-01;1.247e-01;1.066e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.772e-01;1.271e-01;3.980e-01;1.000e+00
0.002938000;1.064e+00;4.026e-01;1.471e-01;3.782e-01;1.381e-01;1.068e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.773e-01;1.406e-01;4.027e-01;1.000e+00
0.003062000;1.065e+00;4.030e-01;1.536e-01;3.783e-01;1.442e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.467e-01;4.049e-01;1.000e+00
0.003062000;1.065e+00;4.030e-01;1.536e-01;3.783e-01;1.442e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.467e-01;4.049e-01;1.000e+00
0.003063000;1.065e+00;4.030e-01;1.537e-01;3.783e-01;1.443e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.468e-01;4.049e-01;1.000e+00
0.003064000;1.065e+00;4.030e-01;1.537e-01;3.783e-01;1.443e-01;1.069e+00;1.000e+00;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.468e-01;4.049e-01;1.000e+00
