time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent
53.597647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.607647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.617647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.627647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.637647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.647647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.657647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.667647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.677647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.687647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.697647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.707647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.717647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.727647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.737647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.747647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.757647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.767647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.777647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.787647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.797647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
53.807647000;4.807e-01;-0.000e+00;-0.000e+00;-0.000e+00;-0.000e+00;4.807e-01;1.000e+01;8.335e-01;1.556e-02;1.556e-02;8.307e-01;1.000e+00;1.300e+00
