time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.920480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.930480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.940480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.950480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.960480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.237e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.970480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.980480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.990480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.000480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.010480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.020480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.030480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.040480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.050480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.060480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.070480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.080480000;1.051e+00;7.498e-01;-4.452e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.090480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.100480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.236e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.110480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.120480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.130480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.140480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.150480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.160480000;1.051e+00;7.498e-01;-4.451e-01;7.135e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.170480000;1.051e+00;7.498e-01;-4.451e-01;7.134e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.180480000;1.051e+00;7.498e-01;-4.451e-01;7.134e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.190480000;1.051e+00;7.498e-01;-4.451e-01;7.134e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.200480000;1.051e+00;7.498e-01;-4.451e-01;7.134e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.210480000;1.051e+00;7.498e-01;-4.451e-01;7.134e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
1.220480000;1.051e+00;7.498e-01;-4.451e-01;7.134e-01;-4.235e-01;1.041e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
