time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.603701000;1.052e+00;7.387e-01;2.375e-04;7.023e-01;2.258e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.613701000;1.052e+00;7.387e-01;2.474e-04;7.023e-01;2.352e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.623701000;1.052e+00;7.387e-01;2.561e-04;7.023e-01;2.434e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.633701000;1.052e+00;7.387e-01;2.657e-04;7.023e-01;2.526e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.643701000;1.052e+00;7.387e-01;2.756e-04;7.023e-01;2.620e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.653701000;1.052e+00;7.387e-01;2.854e-04;7.023e-01;2.713e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.663701000;1.052e+00;7.387e-01;2.941e-04;7.023e-01;2.796e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.673701000;1.052e+00;7.387e-01;3.039e-04;7.023e-01;2.889e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.683701000;1.052e+00;7.387e-01;3.136e-04;7.023e-01;2.981e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.693701000;1.052e+00;7.387e-01;3.234e-04;7.023e-01;3.075e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.703701000;1.052e+00;7.387e-01;3.325e-04;7.022e-01;3.161e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.713701000;1.052e+00;7.387e-01;3.424e-04;7.022e-01;3.255e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.723701000;1.052e+00;7.387e-01;3.521e-04;7.022e-01;3.347e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.733701000;1.052e+00;7.387e-01;3.619e-04;7.022e-01;3.440e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.743701000;1.052e+00;7.387e-01;3.717e-04;7.022e-01;3.534e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.753701000;1.052e+00;7.387e-01;3.815e-04;7.022e-01;3.627e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.763701000;1.052e+00;7.387e-01;3.912e-04;7.022e-01;3.719e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.773701000;1.052e+00;7.387e-01;4.010e-04;7.022e-01;3.813e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.783701000;1.052e+00;7.387e-01;4.109e-04;7.022e-01;3.906e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.793701000;1.052e+00;7.387e-01;4.207e-04;7.022e-01;3.999e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.803701000;1.052e+00;7.387e-01;4.304e-04;7.022e-01;4.091e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.813701000;1.052e+00;7.387e-01;4.402e-04;7.022e-01;4.185e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.823701000;1.052e+00;7.387e-01;4.500e-04;7.022e-01;4.278e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.833701000;1.052e+00;7.387e-01;4.597e-04;7.022e-01;4.370e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.843701000;1.052e+00;7.387e-01;4.704e-04;7.022e-01;4.472e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.853701000;1.052e+00;7.387e-01;4.803e-04;7.022e-01;4.566e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.863701000;1.052e+00;7.387e-01;4.899e-04;7.022e-01;4.658e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.873701000;1.052e+00;7.387e-01;4.998e-04;7.022e-01;4.751e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.883701000;1.052e+00;7.387e-01;5.096e-04;7.022e-01;4.844e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.893701000;1.052e+00;7.387e-01;5.193e-04;7.022e-01;4.936e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.903701000;1.052e+00;7.387e-01;5.302e-04;7.022e-01;5.041e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.913701000;1.052e+00;7.387e-01;5.401e-04;7.022e-01;5.134e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.923701000;1.052e+00;7.387e-01;5.498e-04;7.022e-01;5.226e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
0.933701000;1.052e+00;7.387e-01;5.596e-04;7.022e-01;5.319e-04;1.058e+00;1.000e+01;1.051e+00;1.000e+00;1.000e+00
