Time (s);P PCC (pu);P lower (pu);P upper (pu)
6.152e-01;-4.652e-02;-1.109e-01;8.059e-02
6.169e-01;-4.611e-02;-1.103e-01;8.018e-02
6.185e-01;-4.570e-02;-1.098e-01;7.977e-02
6.202e-01;-4.529e-02;-1.092e-01;7.937e-02
6.219e-01;-4.488e-02;-1.086e-01;7.897e-02
6.235e-01;-4.448e-02;-1.080e-01;7.858e-02
6.252e-01;-4.408e-02;-1.074e-01;7.818e-02
6.269e-01;-4.367e-02;-1.068e-01;7.779e-02
6.285e-01;-4.327e-02;-1.062e-01;7.741e-02
6.302e-01;-4.287e-02;-1.056e-01;7.702e-02
6.319e-01;-4.248e-02;-1.050e-01;7.664e-02
6.335e-01;-4.208e-02;-1.044e-01;7.626e-02
6.352e-01;-4.169e-02;-1.038e-01;7.589e-02
6.369e-01;-4.129e-02;-1.032e-01;7.552e-02
6.385e-01;-4.090e-02;-1.026e-01;7.515e-02
6.402e-01;-4.051e-02;-1.020e-01;7.478e-02
6.419e-01;-4.012e-02;-1.014e-01;7.442e-02
6.435e-01;-3.973e-02;-1.008e-01;7.406e-02
6.452e-01;-3.935e-02;-1.002e-01;7.370e-02
6.469e-01;-3.897e-02;-9.956e-02;7.335e-02
6.485e-01;-3.858e-02;-9.896e-02;7.300e-02
6.502e-01;-3.820e-02;-9.836e-02;7.265e-02
6.519e-01;-3.782e-02;-9.775e-02;7.230e-02
6.536e-01;-3.745e-02;-9.715e-02;7.196e-02
6.552e-01;-3.707e-02;-9.655e-02;7.162e-02
6.569e-01;-3.670e-02;-9.594e-02;7.128e-02
6.586e-01;-3.633e-02;-9.534e-02;7.095e-02
6.602e-01;-3.596e-02;-9.474e-02;7.062e-02
6.619e-01;-3.559e-02;-9.414e-02;7.029e-02
6.636e-01;-3.522e-02;-9.354e-02;6.996e-02
6.652e-01;-3.486e-02;-9.294e-02;6.964e-02
6.669e-01;-3.449e-02;-9.234e-02;6.932e-02
6.686e-01;-3.413e-02;-9.174e-02;6.900e-02
